Seed,Prop. class 1,Sel. bias,Method,Test set,pr,AUPRC,p.50,p.100,Bias effect
16,0.5,0.0,Veenman,future,1.0,0.7126582283404463,0.94,0.9,1.1113961741911411
24,0.05,0.5,sample,,,,,,0.5110706141388249
15,0.05,0.0,traditional,future,0.5909090909090909,0.23960085138047643,0.58,0.47,1.590266276038785
3,0.05,0.0,Semi-supervised,future,0.3471502590673575,0.222160757299624,0.5,0.43,1.1204012901553055
0,0.5,0.95,Semi-supervised,future,0.7789373814041746,0.6611540951102579,0.86,0.88,1.9904054760950338
3,0.5,0.5,traditional,future,0.8119278053884385,0.835860334072775,1.0,1.0,1.7386994980977315
13,0.5,0.0,Label_spreading,future,0.7602706621556308,0.7831398533404412,0.92,0.92,1.7101110446705006
42,0.5,0.0,Self_Learning,future,0.7163163163163163,0.7845636491514798,0.98,0.99,1.6494526367132618
14,0.5,0.95,Veenman,future,0.8560311284046692,0.6696476862778264,1.0,0.97,1.871465431598108
24,0.05,0.95,Semi-supervised,future,0.35764705882352943,0.30117502835485255,0.54,0.52,0.9896461624521896
23,0.05,0.5,traditional,future,0.1324018629407851,0.23695562157439562,0.46,0.38,1.1848252338794527
0,0.05,0.0,sample,,,,,,0.7662498208865307
21,0.05,0.0,Label_Propagation,future,0.0,0.37131817950703716,0.7,0.63,1.2786601064902974
18,0.05,0.0,Semi-supervised,future,0.30454545454545456,0.185564864320754,0.34,0.35,1.3099235184575044
41,0.5,0.0,Veenman,future,1.0,0.6722582633427453,0.96,0.87,0.9901688617233084
4,0.05,0.5,Label_spreading,future,0.07097347755222996,0.2334966768525617,0.46,0.46,1.7493136955148962
1,0.5,0.0,sample,,,,,,0.3139297956420077
9,0.5,0.5,Label_spreading,future,0.9933481152993349,0.8709875458185554,1.0,1.0,2.077064132914109
8,0.05,0.95,Semi-supervised,future,0.6060606060606061,0.33512926264632636,0.6,0.55,1.0226395648143531
42,0.05,0.0,traditional,future,0.4140127388535032,0.23384075866472756,0.5,0.46,1.3229444475558232
5,0.05,0.5,traditional,future,0.09722575719012472,0.19889742983090355,0.48,0.42,1.300179467628145
24,0.5,0.0,traditional,future,0.701394422310757,0.7789146823155642,1.0,0.98,1.6445373691149339
43,0.5,0.95,Veenman,future,0.8206997084548106,0.649527372736111,1.0,0.98,1.8810478354113855
15,0.5,0.0,Self_Learning,future,0.7411482296459292,0.8241413642501572,1.0,1.0,1.766208348865089
26,0.05,0.0,Veenman,future,0.0,0.15578327741864545,0.3,0.32,1.1093641173375346
2,0.5,0.95,Veenman,future,0.8201058201058201,0.637983017067924,0.92,0.93,1.8647200233235721
44,0.5,0.0,Label_spreading,future,0.6622950819672131,0.7764667982813276,0.92,0.95,1.625196516829479
34,0.5,0.0,Semi-supervised,future,0.8424467099165894,0.7283524968783817,0.98,0.94,1.2454574367532483
29,0.05,0.0,sample,,,,,,0.8587965992629855
8,0.05,0.95,Self_Learning,future,0.07612191759840711,0.29584917851653797,0.58,0.53,0.9020597600920216
12,0.05,0.5,Self_Learning,future,0.4036144578313253,0.30574026441068397,0.72,0.45,0.9182108708468166
21,0.5,0.0,sample,,,,,,0.2802420849627987
2,0.5,0.0,Semi-supervised,future,0.8539114043355325,0.7367896873784567,0.9,0.92,1.6978915224214755
19,0.5,0.95,Semi-supervised,future,0.8034825870646766,0.673847925132619,0.86,0.85,1.9953430814202473
32,0.5,0.0,traditional,future,0.7337216559184523,0.8019555457536582,1.0,0.99,1.5334222891877314
18,0.5,0.5,Veenman,future,0.8653846153846154,0.6542499376702856,0.92,0.92,2.1629386098830548
10,0.05,0.95,Self_Learning,future,0.0756996482642606,0.35132303083431815,0.62,0.56,0.7853039956220293
12,0.05,0.5,Semi-supervised,future,0.48695652173913045,0.291124578322883,0.54,0.54,1.0657493759897956
13,0.5,0.0,Label_Propagation,future,0.9710144927536232,0.8110730279581542,0.94,0.96,2.0417000889128865
30,0.05,0.0,Veenman,future,0.5,0.13696271901009702,0.3,0.25,1.220988686172959
5,0.05,0.5,Semi-supervised,future,0.4864864864864865,0.2797466546775379,0.48,0.5,1.0280743919414286
1,0.5,0.0,Veenman,future,0.7713193116634799,0.7323751984831921,0.98,0.95,1.5470607822841826
22,0.5,0.0,Semi-supervised,future,0.7146648971466489,0.7051603755811034,0.9,0.92,1.4326292846477262
21,0.5,0.5,sample,,,,,,1.5799945881322521
19,0.5,0.95,Self_Learning,future,0.6491913986138262,0.7132433645831565,0.98,0.96,1.7576827951483371
7,0.05,0.5,Veenman,future,0.0,0.2991159009315781,0.52,0.49,1.0230265367772626
32,0.05,0.5,sample,,,,,,0.43436332074559975
12,0.05,0.95,Label_spreading,future,0.05,0.45451801862632046,0.76,0.71,1.2361419730037042
0,0.05,0.95,Label_spreading,future,0.0501,0.3025205195330667,0.66,0.5,1.4243792023101551
44,0.5,0.0,Label_Propagation,future,0.5181672882258924,0.7139581882431748,0.86,0.87,1.0071928236149343
1,0.5,0.95,Label_spreading,future,0.5,0.7693668930778688,0.98,0.97,2.3400762534325827
39,0.5,0.95,sample,,,,,,1.4688567076574501
5,0.05,0.95,Veenman,future,0.47368421052631576,0.29267011196489157,0.56,0.46,1.0247753444278738
0,0.5,0.95,traditional,future,0.668141592920354,0.6793597597470664,0.82,0.83,1.644997915279923
5,0.05,0.0,traditional,future,0.5,0.19009147665993223,0.38,0.37,1.4005304129476666
35,0.05,0.5,traditional,future,0.11680745703466355,0.23261872956614302,0.44,0.37,0.8211843660082763
32,0.05,0.95,Semi-supervised,future,0.75,0.4007820154180226,0.74,0.61,0.8741782704198949
34,0.5,0.5,Veenman,future,0.8306451612903226,0.6446976513996886,0.92,0.91,2.1496574169856513
17,0.5,0.5,Self_Learning,future,0.8262265016047684,0.7679789165833589,0.98,0.99,2.049755918597675
17,0.05,0.95,traditional,future,0.06397952655150352,0.35306959057473924,0.68,0.64,0.9944645521484673
35,0.5,0.95,Semi-supervised,future,0.8178391959798995,0.6441651540877995,0.84,0.87,1.9386793096379482
9,0.5,0.0,Label_Propagation,future,0.544539286495951,0.865321733519806,1.0,0.98,2.079235262106653
25,0.05,0.0,Label_spreading,future,0.0,0.1343670947714526,0.38,0.26,1.068414646609578
1,0.5,0.95,sample,,,,,,1.4598374942961694
35,0.5,0.95,Self_Learning,future,0.6166982922201139,0.6912762831781969,0.88,0.9,1.5891678732525731
5,0.5,0.5,sample,,,,,,1.5252065055269837
13,0.05,0.0,sample,,,,,,0.8152274935285978
20,0.5,0.95,Label_Propagation,future,0.5002,0.7173644014104531,0.9,0.88,2.413334996555405
12,0.5,0.5,Label_Propagation,future,0.0,0.8184467941149798,0.98,0.96,2.222183935567517
31,0.05,0.0,Self_Learning,future,0.2490272373540856,0.20084275056757092,0.42,0.37,1.2528551834057917
42,0.5,0.95,sample,,,,,,1.4488175560811147
20,0.05,0.5,Label_spreading,future,0.05475251861585633,0.34187328200690786,0.68,0.64,1.5747139546876108
40,0.05,0.95,traditional,future,0.06094557990642699,0.28375262475324897,0.6,0.56,1.1338044078674883
40,0.5,0.5,Self_Learning,future,0.7864321608040201,0.7422366328099441,0.98,0.95,2.0946760231253303
21,0.5,0.5,Label_spreading,future,1.0,0.8345908598884301,1.0,1.0,2.255842714915099
25,0.05,0.5,Veenman,future,0.42696629213483145,0.2400541324143099,0.44,0.4,1.1935029018731103
20,0.5,0.5,traditional,future,0.7715598810489321,0.7866987719499312,1.0,0.99,1.6545036693239552
8,0.05,0.5,Self_Learning,future,0.4270833333333333,0.2674700924110311,0.48,0.43,0.8554472707976942
12,0.5,0.95,traditional,future,0.5284491167226617,0.7320350631963994,0.88,0.86,1.843431090622305
8,0.05,0.0,Label_Propagation,future,0.0,0.17914231565801036,0.32,0.29,1.0586908486283795
0,0.5,0.0,traditional,future,0.6921474692772339,0.7445029740443649,0.98,0.98,1.761723961780689
44,0.05,0.0,sample,,,,,,0.9558852074235737
19,0.05,0.5,traditional,future,0.11607697082557418,0.2124711211815304,0.44,0.36,1.2164336490019785
10,0.05,0.95,Label_Propagation,future,0.05,0.48460420398994697,0.86,0.75,1.0753844459016326
22,0.05,0.0,Semi-supervised,future,0.38613861386138615,0.18809780791771186,0.36,0.39,1.0951141528608344
29,0.5,0.0,Label_spreading,future,0.7988571428571428,0.8006607275939318,0.92,0.93,1.5975442161994868
15,0.5,0.95,sample,,,,,,1.463163404495846
